Cidade,PDA,Solicitações
Guarabira,Gestão de Pessoas,6
Guarabira,Tecnologia da Informação,5
Guarabira,Processos e Normas,5
Guarabira,Saúde,1
Guarabira,Engenharia,10
Guarabira,Material Bélico,1
Guarabira,Material e Patrimônio,6
Campina Grande,Gestão de Pessoas,35
Campina Grande,Tecnologia da Informação,2
Campina Grande,Saúde,1
Campina Grande,Engenharia,29
Campina Grande,Material e Patrimônio,7
João Pessoa,Gestão de Pessoas,15
João Pessoa,Tecnologia da Informação,3
João Pessoa,Processos e Normas,3
João Pessoa,Engenharia,15
João Pessoa,Material e Patrimônio,4
Patos,Gestão de Pessoas,31
Patos,Tecnologia da Informação,3
Patos,Saúde,2
Patos,Engenharia,49
Patos,Material e Patrimônio,4
